Hook ID,Category,Hook Template,Example URL,Notes
EDU_0001,EDUCATIONAL,"This represents your X before, during, and after X",https://www.instagram.com/p/C-ta_pvhfvK/,
EDU_0002,EDUCATIONAL,Here’s exactly how much (insert action/item) you need to (insert result),https://www.instagram.com/reel/C9vqgHxuz1E/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,
EDU_0003,EDUCATIONAL,Can you tell us how to (insert result) in 60 seconds?,https://www.instagram.com/p/C8dJXv1PjzF/,
EDU_0004,EDUCATIONAL,This is what (insert thing) looks like when you’re (insert action). And this is what they look like when you’re not (insert action).,https://www.instagram.com/reel/C4tAzeYL8yA/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,
EDU_0005,EDUCATIONAL,"I’m going to tell you how to get (Insert result), (insert mind blowing method).",https://www.instagram.com/p/C7WV9_TI5dT/,
EDU_0006,EDUCATIONAL,It took me 10 years to learn this but I’ll teach it to you in less than 1 minute.,https://www.instagram.com/p/C-sSyDpoyMX/,
EDU_0007,EDUCATIONAL,When you get (insert item/result) here are the # things you got to do right away.,https://www.instagram.com/p/C9bUq2CtvUv/,
EDU_0008,EDUCATIONAL,"If you don’t have (insert item/action), do (insert item/action).",https://www.instagram.com/p/C8rJipAy8I8/,
EDU_0009,EDUCATIONAL,My money rules as a (insert description) working towards financial independence.,https://www.instagram.com/p/C_-u411xe4m/,
EDU_0010,EDUCATIONAL,Money can buy you (insert item) but it can not buy you (insert result).,https://www.instagram.com/p/DBkvHncxD2t/,
EDU_0011,EDUCATIONAL,Here's how to develop a (insert skill) so strong that you physically can't stop (doing skill).,https://www.instagram.com/reel/C-CPzwMReyb/?igsh=MXBiYmdmc3dudm5vcg%3D%3D,
EDU_0012,EDUCATIONAL,This is what (insert #) of (insert item) looks like.,https://www.instagram.com/alexgamblecoach/reel/C60q1FPPrLW/,
EDU_0013,EDUCATIONAL,"If I woke up (insert pain point) tomorrow, and wanted to (insert dream result) by (insert time) here’s exactly what I would do.",https://www.instagram.com/p/DGOZZYhS1cj/,
EDU_0014,EDUCATIONAL,If you're a (insert target audience) and you want (insert,https://www.instagram.com/reel/DE9tW4dyxlJ/?igs,
EDU_0015,EDUCATIONAL,If you are (insert age group or range) do not do (insert action).,https://www.instagram.com/reel/DEsW49SM6z3/?igsh=MXc4eXFleDU0cDB4OA==,
